wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.0726,226
0.1,0.1,0.1185,87
0.3,0.55,0.1809,85
0.2,0.35,0.1668,53
0.0,0.7,0.2035,59
0.4,0.05,0.0809,195
0.4,0.1,0.0902,126
0.0,0.65,0.2134,80
0.2,0.2,0.136,49
0.3,0.4,0.1562,80
0.1,0.05,0.1092,112
0.45,0.0,0.0802,240
0.25,0.3,0.1519,87
0.05,0.75,0.2149,66
0.15,0.15,0.1269,44
0.35,0.5,0.1512,118
0.75,0.25,0.0712,221
1.0,0.0,0.0714,153
0.35,0.45,0.1617,82
0.15,0.0,0.102,98
0.05,0.6,0.2071,69
0.25,0.25,0.1417,53
0.45,0.15,0.0902,128
0.45,0.05,0.0794,216
0.25,0.35,0.1545,70
0.05,0.7,0.2046,90
0.15,0.1,0.1139,122
0.35,0.55,0.1645,104
0.75,0.2,0.0717,190
0.35,0.4,0.1575,94
0.15,0.05,0.1131,76
0.05,0.65,0.2068,46
0.25,0.2,0.1418,67
0.45,0.1,0.0758,199
0.7,0.25,0.0715,208
0.1,0.15,0.12,147
0.3,0.5,0.1696,103
0.2,0.3,0.1491,65
0.0,0.75,0.1945,105
0.4,0.0,0.0807,217
0.4,0.15,0.0942,104
0.0,0.6,0.2096,98
0.2,0.25,0.1427,39
0.3,0.45,0.1513,62
0.1,0.0,0.1012,66
0.65,0.25,0.0728,254
0.25,0.5,0.1843,79
0.05,0.15,0.1432,104
0.15,0.75,0.1982,58
0.35,0.3,0.1528,78
0.55,0.0,0.0717,208
0.55,0.15,0.0776,275
0.2,0.8,0.191,68
0.35,0.25,0.1361,100
0.15,0.6,0.2035,55
0.05,0.0,0.1002,97
0.25,0.45,0.1739,100
0.65,0.3,0.0749,101
0.5,0.05,0.0787,238
0.1,0.7,0.2029,54
0.3,0.35,0.1562,96
0.2,0.55,0.1768,102
0.0,0.1,0.1262,184
0.6,0.2,0.074,202
0.6,0.35,0.0936,159
0.0,0.05,0.1068,54
0.2,0.4,0.1783,93
0.3,0.2,0.1355,95
0.1,0.65,0.2066,79
0.5,0.1,0.08,214
0.5,0.0,0.0782,193
