wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.1258,182
0.1,0.1,0.238,175
0.3,0.55,0.2998,144
0.2,0.35,0.3051,117
0.0,0.7,0.3676,125
0.4,0.05,0.1409,268
0.4,0.1,0.1594,126
0.0,0.65,0.388,80
0.2,0.2,0.2475,103
0.3,0.4,0.2677,140
0.1,0.05,0.222,112
0.45,0.0,0.1334,240
0.25,0.3,0.2683,87
0.05,0.75,0.3888,66
0.15,0.15,0.2405,188
0.35,0.5,0.2713,118
0.75,0.25,0.1179,221
1.0,0.0,0.1007,212
0.35,0.45,0.2644,137
0.15,0.0,0.1919,98
0.05,0.6,0.3714,69
0.25,0.25,0.2472,114
0.45,0.15,0.1579,128
0.45,0.05,0.1411,216
0.25,0.35,0.2898,137
0.05,0.7,0.3961,90
0.15,0.1,0.236,122
0.35,0.55,0.2753,170
0.75,0.2,0.1198,190
0.35,0.4,0.2609,159
0.15,0.05,0.224,160
0.05,0.65,0.3746,113
0.25,0.2,0.2354,137
0.45,0.1,0.1424,262
0.7,0.25,0.1263,208
0.1,0.15,0.2493,147
0.3,0.5,0.2891,103
0.2,0.3,0.2876,144
0.0,0.75,0.3799,105
0.4,0.0,0.1413,217
0.4,0.15,0.1671,170
0.0,0.6,0.3934,98
0.2,0.25,0.2512,86
0.3,0.45,0.27,122
0.1,0.0,0.209,141
0.65,0.25,0.1239,199
0.25,0.5,0.3135,152
0.05,0.15,0.2816,104
0.15,0.75,0.3641,129
0.35,0.3,0.2326,141
0.55,0.0,0.13,208
0.55,0.15,0.1358,212
0.2,0.8,0.3339,133
0.35,0.25,0.2155,165
0.15,0.6,0.3546,129
0.05,0.0,0.2111,97
0.25,0.45,0.3114,100
0.65,0.3,0.1288,238
0.5,0.05,0.1318,238
0.1,0.7,0.3633,123
0.3,0.35,0.2613,172
0.2,0.55,0.3344,102
0.0,0.1,0.2816,184
0.6,0.2,0.1265,202
0.6,0.35,0.1611,159
0.0,0.05,0.2186,232
0.2,0.4,0.3217,93
0.3,0.2,0.21,95
0.1,0.65,0.3906,79
0.5,0.1,0.1388,214
0.5,0.0,0.1317,193
0.1,0.75,0.3837,103
0.3,0.3,0.263,114
0.2,0.5,0.3332,125
0.0,0.15,0.3135,155
0.6,0.25,0.1301,192
0.6,0.3,0.1564,131
0.0,0.0,0.2137,141
0.2,0.45,0.3132,145
0.3,0.25,0.2267,73
0.1,0.6,0.358,99
0.5,0.15,0.1362,255
0.65,0.2,0.1175,214
0.25,0.55,0.3052,125
0.05,0.1,0.2295,132
0.15,0.7,0.3421,84
0.35,0.35,0.239,194
0.55,0.05,0.1288,187
0.55,0.1,0.1319,230
0.35,0.2,0.1938,117
0.15,0.65,0.3513,110
0.05,0.05,0.2336,158
0.25,0.4,0.3043,121
0.45,0.55,0.2405,197
0.65,0.1,0.1185,198
0.25,0.65,0.3125,152
0.05,0.2,0.3073,86
0.1,0.85,0.369,124
0.15,0.4,0.3362,69
0.9,0.0,0.1029,199
0.35,0.05,0.1451,249
0.55,0.35,0.1714,196
0.55,0.2,0.1445,194
0.35,0.1,0.1587,99
0.15,0.55,0.3591,80
0.05,0.35,0.3657,96
0.1,0.9,0.3726,98
0.25,0.7,0.3208,130
0.65,0.05,0.1181,169
0.45,0.4,0.1977,137
0.5,0.3,0.1698,209
0.1,0.45,0.3686,93
0.3,0.0,0.1463,253
0.2,0.6,0.3281,86
0.15,0.8,0.3668,114
0.0,0.25,0.3375,102
0.4,0.5,0.2515,135
0.6,0.15,0.1288,221
0.6,0.0,0.1196,171
0.4,0.45,0.2478,159
0.0,0.3,0.3517,84
0.2,0.75,0.3233,150
0.3,0.15,0.199,114
0.1,0.5,0.3679,73
0.5,0.25,0.1633,169
0.5,0.35,0.1744,181
0.95,0.0,0.1059,202
0.1,0.4,0.3629,111
0.3,0.05,0.1739,171
0.2,0.65,0.3329,137
0.0,0.2,0.3216,124
0.4,0.55,0.2501,181
0.6,0.1,0.1233,182
0.6,0.05,0.1252,201
0.4,0.4,0.2316,188
0.0,0.35,0.3481,68
0.2,0.7,0.3289,114
0.3,0.1,0.1753,143
0.1,0.55,0.3482,50
0.5,0.2,0.1557,126
0.45,0.5,0.2221,96
0.65,0.15,0.1254,183
0.25,0.6,0.3309,109
0.05,0.25,0.3328,146
0.1,0.8,0.365,72
0.9,0.05,0.1071,215
0.15,0.45,0.3466,123
0.35,0.0,0.1419,203
0.55,0.3,0.1607,166
0.55,0.25,0.1411,127
0.35,0.15,0.1737,226
0.15,0.5,0.3551,102
0.05,0.3,0.3327,121
0.25,0.75,0.3216,108
0.65,0.0,0.1196,176
0.45,0.45,0.2242,175
0.7,0.15,0.122,193
0.5,0.5,0.2182,171
0.05,0.8,0.3755,117
0.1,0.25,0.3114,99
0.3,0.6,0.3001,122
0.2,0.0,0.1809,128
0.0,0.45,0.3829,96
0.85,0.05,0.1094,210
0.4,0.3,0.1908,165
0.4,0.25,0.1868,120
0.85,0.1,0.1058,167
0.0,0.5,0.3852,76
0.2,0.15,0.2399,130
0.1,0.3,0.3326,83
0.5,0.45,0.1922,197
0.7,0.0,0.1077,192
0.45,0.35,0.1855,158
0.25,0.05,0.2025,138
0.05,0.4,0.3774,84
0.8,0.0,0.1044,176
0.15,0.2,0.2533,156
0.0,0.85,0.3683,59
0.75,0.1,0.1054,220
0.55,0.4,0.1743,176
0.75,0.05,0.1035,192
0.15,0.35,0.3167,89
0.0,0.9,0.3798,100
0.8,0.15,0.1076,179
0.05,0.55,0.3903,85
0.25,0.1,0.2122,109
0.45,0.2,0.1687,175
0.45,0.3,0.1786,184
0.25,0.0,0.1762,164
0.8,0.05,0.1023,202
0.05,0.45,0.3604,129
0.15,0.25,0.2825,130
0.0,0.8,0.3907,81
0.35,0.6,0.2818,145
0.75,0.15,0.1061,205
0.75,0.0,0.105,166
0.15,0.3,0.3213,109
0.0,0.95,0.3774,76
0.05,0.5,0.3788,110
0.8,0.1,0.1049,186
0.25,0.15,0.2217,164
0.45,0.25,0.1784,213
0.7,0.1,0.1132,170
0.0,1.0,0.3682,58
0.05,0.85,0.3785,89
0.1,0.2,0.308,123
0.3,0.65,0.3065,169
0.2,0.05,0.2101,105
0.85,0.0,0.1043,187
0.0,0.4,0.3669,117
0.4,0.35,0.2176,135
0.4,0.2,0.1689,221
0.0,0.55,0.3649,58
0.2,0.1,0.2302,155
0.05,0.9,0.3762,64
0.1,0.35,0.3501,62
0.5,0.4,0.1784,156
0.7,0.05,0.1087,181
