wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.0746,227
0.1,0.1,0.1712,99
0.3,0.55,0.1725,88
0.2,0.35,0.1986,56
0.0,0.7,0.2176,57
0.4,0.05,0.0936,101
0.4,0.1,0.0993,134
0.0,0.65,0.2158,82
0.2,0.2,0.1649,124
0.3,0.4,0.1702,85
0.1,0.05,0.1676,57
0.45,0.0,0.0791,190
0.25,0.3,0.1673,106
0.05,0.75,0.2169,65
0.15,0.15,0.1691,111
0.35,0.5,0.1703,126
0.75,0.25,0.0712,221
1.0,0.0,0.0714,153
0.35,0.45,0.1688,87
0.15,0.0,0.1485,105
0.05,0.6,0.2156,67
0.25,0.25,0.1657,66
0.45,0.15,0.0929,138
0.45,0.05,0.0869,234
0.25,0.35,0.1759,79
0.05,0.7,0.1938,92
0.15,0.1,0.1719,64
0.35,0.55,0.1611,107
0.75,0.2,0.0709,191
0.35,0.4,0.1601,100
0.15,0.05,0.1597,84
0.05,0.65,0.2175,45
0.25,0.2,0.1443,156
0.45,0.1,0.0908,208
0.7,0.25,0.071,214
0.1,0.15,0.176,77
0.3,0.5,0.1617,108
0.2,0.3,0.179,79
0.0,0.75,0.2075,43
0.4,0.0,0.086,236
0.4,0.15,0.1088,115
0.0,0.6,0.2246,40
0.2,0.25,0.1836,96
0.3,0.45,0.164,71
0.1,0.0,0.1583,74
0.65,0.25,0.0726,256
0.25,0.5,0.1941,84
0.05,0.15,0.1756,47
0.15,0.75,0.214,61
0.35,0.3,0.1533,88
0.55,0.0,0.0789,215
0.55,0.15,0.0781,218
0.2,0.8,0.191,68
0.35,0.25,0.1514,104
0.15,0.6,0.2107,59
0.05,0.0,0.1456,52
0.25,0.45,0.1797,110
0.65,0.3,0.0737,241
0.5,0.05,0.0742,252
0.1,0.7,0.2223,54
0.3,0.35,0.1548,110
0.2,0.55,0.1882,108
0.0,0.1,0.1787,98
0.6,0.2,0.0766,212
0.6,0.35,0.0962,162
0.0,0.05,0.1573,56
0.2,0.4,0.176,104
0.3,0.2,0.1436,108
0.1,0.65,0.2048,76
