wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.127,184
0.1,0.1,0.3411,99
0.3,0.55,0.3004,152
0.2,0.35,0.345,127
0.0,0.7,0.3917,57
0.4,0.05,0.1563,219
0.4,0.1,0.1607,256
0.0,0.65,0.3989,82
0.2,0.2,0.3132,124
0.3,0.4,0.2857,152
0.1,0.05,0.3355,116
0.45,0.0,0.1318,190
0.25,0.3,0.3036,106
0.05,0.75,0.3919,65
0.15,0.15,0.3344,111
0.35,0.5,0.2771,126
0.75,0.25,0.1179,221
1.0,0.0,0.1007,212
0.35,0.45,0.274,149
0.15,0.0,0.289,105
0.05,0.6,0.3969,67
0.25,0.25,0.2969,134
0.45,0.15,0.1614,138
0.45,0.05,0.1531,234
0.25,0.35,0.3117,154
0.05,0.7,0.3984,92
0.15,0.1,0.3212,131
0.35,0.55,0.2778,172
0.75,0.2,0.1221,191
0.35,0.4,0.2601,172
0.15,0.05,0.3086,84
0.05,0.65,0.3804,116
0.25,0.2,0.2754,156
0.45,0.1,0.1601,208
0.7,0.25,0.1187,214
0.1,0.15,0.3361,77
0.3,0.5,0.2877,108
0.2,0.3,0.3418,79
0.0,0.75,0.3959,104
0.4,0.0,0.1497,236
0.4,0.15,0.17,184
0.0,0.6,0.4145,99
0.2,0.25,0.3501,96
0.3,0.45,0.291,135
0.1,0.0,0.2913,142
0.65,0.25,0.127,202
0.25,0.5,0.3184,84
0.05,0.15,0.3604,113
0.15,0.75,0.3691,132
0.35,0.3,0.237,154
0.55,0.0,0.1271,215
0.55,0.15,0.1362,218
0.2,0.8,0.3339,133
0.35,0.25,0.2304,180
0.15,0.6,0.3596,59
0.05,0.0,0.2872,110
0.25,0.45,0.3184,110
0.65,0.3,0.1296,192
0.5,0.05,0.1283,188
0.1,0.7,0.3746,54
0.3,0.35,0.2694,110
0.2,0.55,0.3394,108
0.0,0.1,0.3545,98
0.6,0.2,0.1296,163
0.6,0.35,0.1568,162
0.0,0.05,0.2946,119
0.2,0.4,0.3392,104
0.3,0.2,0.2476,108
0.1,0.65,0.4001,76
0.5,0.1,0.1416,227
0.5,0.0,0.1298,272
0.1,0.75,0.387,101
0.3,0.3,0.2718,132
0.2,0.5,0.3512,131
0.0,0.15,0.3571,78
0.6,0.25,0.1318,194
0.6,0.3,0.1477,230
0.0,0.0,0.2901,144
0.2,0.45,0.3621,82
