wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.0733,229
0.1,0.1,0.081,176
0.3,0.55,0.1674,84
0.2,0.35,0.1502,122
0.0,0.7,0.1914,51
0.4,0.05,0.0791,265
0.4,0.1,0.0844,202
0.0,0.65,0.1827,66
0.2,0.2,0.1081,121
0.3,0.4,0.1437,155
0.1,0.05,0.0766,203
0.45,0.0,0.075,227
0.25,0.3,0.1237,190
0.05,0.75,0.189,66
0.15,0.15,0.0964,194
0.35,0.5,0.1545,119
0.75,0.25,0.0712,221
1.0,0.0,0.0714,153
0.35,0.45,0.1471,147
0.15,0.0,0.0725,180
0.05,0.6,0.1647,56
0.25,0.25,0.1187,125
0.45,0.15,0.0793,188
0.45,0.05,0.0747,204
0.25,0.35,0.1391,71
0.05,0.7,0.181,84
0.15,0.1,0.0892,225
0.35,0.55,0.1582,105
0.75,0.2,0.0726,191
0.35,0.4,0.1461,96
0.15,0.05,0.0755,154
0.05,0.65,0.1749,107
0.25,0.2,0.1092,151
0.45,0.1,0.0791,151
0.7,0.25,0.0707,166
0.1,0.15,0.091,150
0.3,0.5,0.1569,101
0.2,0.3,0.1314,161
0.0,0.75,0.1839,93
0.4,0.0,0.0798,212
0.4,0.15,0.0887,168
0.0,0.6,0.1685,98
0.2,0.25,0.1177,190
0.3,0.45,0.1544,128
0.1,0.0,0.0742,228
0.65,0.25,0.0736,198
0.25,0.5,0.1706,82
0.05,0.15,0.0831,205
0.15,0.75,0.1823,56
0.35,0.3,0.1106,147
0.55,0.0,0.0691,202
0.55,0.15,0.0716,204
0.2,0.8,0.191,68
0.35,0.25,0.0998,172
0.15,0.6,0.1697,58
0.05,0.0,0.0613,185
0.25,0.45,0.1691,102
0.65,0.3,0.0724,144
0.5,0.05,0.0768,227
0.1,0.7,0.1723,48
0.3,0.35,0.1444,99
0.2,0.55,0.1743,103
0.0,0.1,0.0698,179
0.6,0.2,0.0693,204
0.6,0.35,0.096,160
0.0,0.05,0.0674,200
0.2,0.4,0.1451,98
0.3,0.2,0.0994,178
0.1,0.65,0.1901,70
0.5,0.1,0.0758,206
0.5,0.0,0.0722,184
0.1,0.75,0.1787,100
0.3,0.3,0.1356,121
0.2,0.5,0.1759,126
0.0,0.15,0.0806,152
0.6,0.25,0.0748,241
0.6,0.3,0.0782,180
0.0,0.0,0.0586,228
0.2,0.45,0.1726,76
0.3,0.25,0.1111,146
0.1,0.6,0.1704,96
0.5,0.15,0.0783,253
0.65,0.2,0.0717,211
0.25,0.55,0.1718,126
0.05,0.1,0.0769,229
0.15,0.7,0.1813,78
0.35,0.35,0.1249,121
0.55,0.05,0.0698,189
0.55,0.1,0.0731,219
0.35,0.2,0.0971,200
0.15,0.65,0.1758,108
0.05,0.05,0.0643,261
0.25,0.4,0.1516,127
0.45,0.55,0.1416,86
0.65,0.1,0.0677,196
0.25,0.65,0.1872,90
0.05,0.2,0.0947,176
0.1,0.85,0.214,48
0.15,0.4,0.157,71
0.9,0.0,0.0619,159
0.35,0.05,0.0843,119
0.55,0.35,0.0944,199
0.55,0.2,0.0748,251
0.35,0.1,0.0864,173
0.15,0.55,0.1555,75
0.05,0.35,0.1341,96
0.1,0.9,0.1806,98
0.25,0.7,0.1881,67
0.65,0.05,0.0632,264
0.45,0.4,0.1104,84
0.5,0.3,0.0974,212
0.1,0.45,0.1553,97
0.3,0.0,0.0772,198
0.2,0.6,0.1831,80
0.15,0.8,0.1766,112
0.0,0.25,0.0973,188
0.4,0.5,0.144,82
0.6,0.15,0.0682,219
0.6,0.0,0.0684,167
0.4,0.45,0.1382,95
0.0,0.3,0.1101,167
0.2,0.75,0.1786,92
0.3,0.15,0.0959,214
0.1,0.5,0.1692,67
0.5,0.25,0.0839,106
0.5,0.35,0.1007,188
0.95,0.0,0.0593,292
0.1,0.4,0.162,112
0.3,0.05,0.0831,175
0.2,0.65,0.1826,61
0.0,0.2,0.0835,222
0.4,0.55,0.1533,121
0.6,0.1,0.0679,176
0.6,0.05,0.07,196
0.4,0.4,0.1182,117
0.0,0.35,0.113,134
0.2,0.7,0.1772,112
0.3,0.1,0.0913,73
0.1,0.55,0.1562,119
0.5,0.2,0.0841,188
0.45,0.5,0.135,91
0.65,0.15,0.0688,180
0.25,0.6,0.1848,108
0.05,0.25,0.1104,149
0.1,0.8,0.1827,72
0.9,0.05,0.0654,153
0.15,0.45,0.1722,125
0.35,0.0,0.0858,75
0.55,0.3,0.0879,161
0.55,0.25,0.0794,184
0.35,0.15,0.0934,238
0.15,0.5,0.1722,101
0.05,0.3,0.1184,115
0.25,0.75,0.192,108
0.65,0.0,0.0646,284
0.45,0.45,0.1328,116
0.7,0.15,0.071,193
0.5,0.5,0.1231,171
0.05,0.8,0.1909,44
0.1,0.25,0.1152,108
0.3,0.6,0.1764,126
0.2,0.0,0.0766,218
0.0,0.45,0.146,85
0.85,0.05,0.0703,142
0.4,0.3,0.1036,167
0.4,0.25,0.0976,198
0.85,0.1,0.0636,234
0.0,0.5,0.1467,146
0.2,0.15,0.0965,139
0.1,0.3,0.1192,166
0.5,0.45,0.1121,80
0.7,0.0,0.0663,153
0.45,0.35,0.1081,166
0.25,0.05,0.0861,141
0.05,0.4,0.1381,70
0.8,0.0,0.0694,142
0.15,0.2,0.1057,171
0.0,0.85,0.2128,57
0.75,0.1,0.0609,146
0.55,0.4,0.0993,116
0.75,0.05,0.0701,156
0.15,0.35,0.1404,92
0.0,0.9,0.1981,37
0.8,0.15,0.0621,145
0.05,0.55,0.1681,81
0.25,0.1,0.0892,209
0.45,0.2,0.0841,166
0.45,0.3,0.1024,193
0.25,0.0,0.0762,84
0.8,0.05,0.0685,163
0.05,0.45,0.1477,53
0.15,0.25,0.1248,138
0.0,0.8,0.2064,74
0.35,0.6,0.1571,83
0.75,0.15,0.0686,165
0.75,0.0,0.0601,249
0.15,0.3,0.1335,113
0.0,0.95,0.2074,76
0.05,0.5,0.1574,109
0.8,0.1,0.0599,227
0.25,0.15,0.096,172
0.45,0.25,0.0899,226
0.7,0.1,0.0659,167
0.0,1.0,0.202,58
0.05,0.85,0.203,85
0.1,0.2,0.1048,134
0.3,0.65,0.1735,105
0.2,0.05,0.0803,195
0.85,0.0,0.0649,154
0.0,0.4,0.1264,105
0.4,0.35,0.1116,146
0.4,0.2,0.0909,230
0.0,0.55,0.1608,122
0.2,0.1,0.0894,166
0.05,0.9,0.202,62
0.1,0.35,0.147,132
0.5,0.4,0.1005,158
0.7,0.05,0.0615,226
