wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.1229,177
0.1,0.1,0.149,300
0.3,0.55,0.2923,148
0.2,0.35,0.2643,122
0.0,0.7,0.3569,123
0.4,0.05,0.131,265
0.4,0.1,0.1402,202
0.0,0.65,0.3636,66
0.2,0.2,0.1907,216
0.3,0.4,0.2526,155
0.1,0.05,0.1251,203
0.45,0.0,0.1176,227
0.25,0.3,0.2173,190
0.05,0.75,0.3594,66
0.15,0.15,0.1735,194
0.35,0.5,0.2679,119
0.75,0.25,0.1179,221
1.0,0.0,0.1007,212
0.35,0.45,0.2557,147
0.15,0.0,0.1151,180
0.05,0.6,0.3106,136
0.25,0.25,0.1933,218
0.45,0.15,0.1331,188
0.45,0.05,0.1174,204
0.25,0.35,0.2464,157
0.05,0.7,0.3653,84
0.15,0.1,0.1582,225
0.35,0.55,0.2757,167
0.75,0.2,0.1258,191
0.35,0.4,0.2301,96
0.15,0.05,0.1382,254
0.05,0.65,0.3597,107
0.25,0.2,0.1693,253
0.45,0.1,0.1262,258
0.7,0.25,0.126,166
0.1,0.15,0.171,265
0.3,0.5,0.2777,178
0.2,0.3,0.2282,161
0.0,0.75,0.3618,93
0.4,0.0,0.1286,212
0.4,0.15,0.1421,168
0.0,0.6,0.329,98
0.2,0.25,0.212,190
0.3,0.45,0.277,128
0.1,0.0,0.119,228
0.65,0.25,0.1346,198
0.25,0.5,0.2805,159
0.05,0.15,0.1507,205
0.15,0.75,0.3463,131
0.35,0.3,0.1869,147
0.55,0.0,0.1237,202
0.55,0.15,0.1183,111
0.2,0.8,0.3339,133
0.35,0.25,0.1689,172
0.15,0.6,0.3145,135
0.05,0.0,0.0997,299
0.25,0.45,0.2805,183
0.65,0.3,0.1308,144
0.5,0.05,0.1257,227
0.1,0.7,0.3573,123
0.3,0.35,0.2335,181
0.2,0.55,0.304,182
0.0,0.1,0.1231,291
0.6,0.2,0.125,204
0.6,0.35,0.1643,160
0.0,0.05,0.1093,330
0.2,0.4,0.2858,188
0.3,0.2,0.1727,277
0.1,0.65,0.3587,70
0.5,0.1,0.1191,114
0.5,0.0,0.1182,184
0.1,0.75,0.3665,100
0.3,0.3,0.2167,121
0.2,0.5,0.3008,126
0.0,0.15,0.155,259
0.6,0.25,0.1317,141
0.6,0.3,0.1353,128
0.0,0.0,0.0895,228
0.2,0.45,0.2834,159
0.3,0.25,0.1692,258
0.1,0.6,0.3327,96
0.5,0.15,0.123,143
0.65,0.2,0.1221,211
0.25,0.55,0.2982,126
0.05,0.1,0.1321,366
0.15,0.7,0.3251,78
0.35,0.35,0.2072,121
0.55,0.05,0.1253,189
0.55,0.1,0.1134,170
0.35,0.2,0.1626,200
0.15,0.65,0.3372,108
0.05,0.05,0.1166,261
0.25,0.4,0.2734,127
0.45,0.55,0.2405,197
0.65,0.1,0.1214,196
0.25,0.65,0.3098,90
0.05,0.2,0.1733,287
0.1,0.85,0.3629,122
0.15,0.4,0.2939,146
0.9,0.0,0.1018,193
0.35,0.05,0.1265,252
0.55,0.35,0.1681,199
0.55,0.2,0.1305,141
0.35,0.1,0.1439,173
0.15,0.55,0.2982,158
0.05,0.35,0.228,195
0.1,0.9,0.3726,98
0.25,0.7,0.3121,129
0.65,0.05,0.1051,208
0.45,0.4,0.1903,140
0.5,0.3,0.1682,212
0.1,0.45,0.2954,173
0.3,0.0,0.1237,198
0.2,0.6,0.3111,80
0.15,0.8,0.3633,112
0.0,0.25,0.1882,188
0.4,0.5,0.2583,139
0.6,0.15,0.1236,166
0.6,0.0,0.1132,167
0.4,0.45,0.2328,95
0.0,0.3,0.2084,167
0.2,0.75,0.3264,152
0.3,0.15,0.163,214
0.1,0.5,0.3012,148
0.5,0.25,0.1425,162
0.5,0.35,0.1739,119
0.95,0.0,0.1032,201
0.1,0.4,0.2721,112
0.3,0.05,0.1412,175
0.2,0.65,0.3131,136
0.0,0.2,0.1696,222
0.4,0.55,0.2543,121
0.6,0.1,0.1241,176
0.6,0.05,0.1207,196
0.4,0.4,0.205,194
0.0,0.35,0.2238,230
0.2,0.7,0.3327,112
0.3,0.1,0.1475,243
0.1,0.55,0.3023,119
0.5,0.2,0.1396,124
0.45,0.5,0.2188,91
0.65,0.15,0.12,180
0.25,0.6,0.3033,178
0.05,0.25,0.1893,255
0.1,0.8,0.3639,72
0.9,0.05,0.1021,187
0.15,0.45,0.2966,211
0.35,0.0,0.1188,280
0.55,0.3,0.1496,161
0.55,0.25,0.1367,128
0.35,0.15,0.1612,238
0.15,0.5,0.299,182
0.05,0.3,0.2242,219
0.25,0.75,0.3216,108
0.65,0.0,0.1043,180
0.45,0.45,0.2141,179
0.7,0.15,0.1229,193
0.5,0.5,0.2182,171
0.05,0.8,0.3722,112
0.1,0.25,0.2148,197
0.3,0.6,0.301,126
0.2,0.0,0.1288,218
0.0,0.45,0.2398,175
0.85,0.05,0.1016,209
0.4,0.3,0.1808,167
0.4,0.25,0.1658,198
0.85,0.1,0.104,198
0.0,0.5,0.2818,146
0.2,0.15,0.1781,245
0.1,0.3,0.2206,166
0.5,0.45,0.186,199
0.7,0.0,0.1025,192
0.45,0.35,0.1795,166
0.25,0.05,0.1388,235
0.05,0.4,0.2442,154
0.8,0.0,0.1017,212
0.15,0.2,0.1861,275
0.0,0.85,0.3805,57
0.75,0.1,0.1035,180
0.55,0.4,0.1709,116
0.75,0.05,0.1053,189
0.15,0.35,0.2325,187
0.0,0.9,0.3759,101
0.8,0.15,0.1043,213
0.05,0.55,0.3219,81
0.25,0.1,0.1567,209
0.45,0.2,0.1416,166
0.45,0.3,0.1713,193
0.25,0.0,0.129,270
0.8,0.05,0.1035,200
0.05,0.45,0.2816,133
0.15,0.25,0.206,138
0.0,0.8,0.3678,74
0.35,0.6,0.2795,143
0.75,0.15,0.1162,165
0.75,0.0,0.1032,202
