wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.0698,221
0.1,0.1,0.1123,182
0.3,0.55,0.1695,75
0.2,0.35,0.1848,74
0.0,0.7,0.1958,96
0.4,0.05,0.0733,225
0.4,0.1,0.0743,206
0.0,0.65,0.1911,115
0.2,0.2,0.1285,130
0.3,0.4,0.1564,116
0.1,0.05,0.0937,84
0.45,0.0,0.0711,261
0.25,0.3,0.1447,125
0.05,0.75,0.2014,51
0.15,0.15,0.1116,102
0.35,0.5,0.1624,108
0.75,0.25,0.0712,221
1.0,0.0,0.0714,153
0.35,0.45,0.152,123
0.15,0.0,0.0726,187
0.05,0.6,0.1921,103
0.25,0.25,0.1278,150
0.45,0.15,0.078,284
0.45,0.05,0.0834,181
0.25,0.35,0.1564,102
0.05,0.7,0.2041,67
0.15,0.1,0.1048,119
0.35,0.55,0.1684,97
0.75,0.2,0.0699,189
0.35,0.4,0.1468,79
0.15,0.05,0.0882,153
0.05,0.65,0.193,81
0.25,0.2,0.1086,84
0.45,0.1,0.0732,224
0.7,0.25,0.071,207
0.1,0.15,0.1208,152
0.3,0.5,0.1758,91
0.2,0.3,0.1615,91
0.0,0.75,0.1966,78
0.4,0.0,0.082,178
0.4,0.15,0.0786,262
0.0,0.6,0.1914,63
0.2,0.25,0.1418,107
0.3,0.45,0.1679,101
0.1,0.0,0.0696,116
0.65,0.25,0.072,199
0.25,0.5,0.1603,127
0.05,0.15,0.1179,92
0.15,0.75,0.2057,48
0.35,0.3,0.1078,189
0.55,0.0,0.0674,174
0.55,0.15,0.0721,249
0.2,0.8,0.191,68
0.35,0.25,0.1269,133
0.15,0.6,0.1684,112
0.05,0.0,0.074,177
0.25,0.45,0.1776,76
0.65,0.3,0.0716,186
0.5,0.05,0.0857,204
0.1,0.7,0.1801,108
0.3,0.35,0.1454,138
0.2,0.55,0.1829,84
0.0,0.1,0.1028,164
0.6,0.2,0.0697,190
0.6,0.35,0.0924,160
0.0,0.05,0.0895,216
0.2,0.4,0.1748,60
0.3,0.2,0.1053,114
0.1,0.65,0.1849,50
0.5,0.1,0.0734,249
0.5,0.0,0.0699,214
0.1,0.75,0.1867,90
0.3,0.3,0.1243,84
0.2,0.5,0.1822,95
0.0,0.15,0.1197,141
0.6,0.25,0.0688,183
0.6,0.3,0.0825,217
0.0,0.0,0.0684,109
0.2,0.45,0.1711,115
0.3,0.25,0.1215,101
0.1,0.6,0.1944,68
0.5,0.15,0.0705,227
0.65,0.2,0.0693,206
0.25,0.55,0.173,111
0.05,0.1,0.1048,111
0.15,0.7,0.1909,67
0.35,0.35,0.1461,92
0.55,0.05,0.0678,214
0.55,0.1,0.0709,199
0.35,0.2,0.1037,146
0.15,0.65,0.1732,92
0.05,0.05,0.0887,132
0.25,0.4,0.175,89
0.45,0.55,0.1416,86
0.65,0.1,0.0725,184
0.25,0.65,0.1894,78
0.05,0.2,0.1277,188
0.1,0.85,0.2154,49
