wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.1205,179
0.1,0.1,0.2339,182
0.3,0.55,0.3042,136
0.2,0.35,0.286,155
0.0,0.7,0.3947,96
0.4,0.05,0.1209,225
0.4,0.1,0.1195,287
0.0,0.65,0.3873,115
0.2,0.2,0.226,130
0.3,0.4,0.2666,116
0.1,0.05,0.1859,229
0.45,0.0,0.1198,261
0.25,0.3,0.2597,125
0.05,0.75,0.3809,117
0.15,0.15,0.2273,216
0.35,0.5,0.2695,173
0.75,0.25,0.1179,221
1.0,0.0,0.1007,212
0.35,0.45,0.2543,123
0.15,0.0,0.147,187
0.05,0.6,0.3856,103
0.25,0.25,0.2272,150
0.45,0.15,0.1344,284
0.45,0.05,0.125,244
0.25,0.35,0.2756,196
0.05,0.7,0.3929,67
0.15,0.1,0.1936,119
0.35,0.55,0.2746,160
0.75,0.2,0.1212,189
0.35,0.4,0.2352,138
0.15,0.05,0.1724,153
0.05,0.65,0.3819,81
0.25,0.2,0.2045,172
0.45,0.1,0.1226,224
0.7,0.25,0.1187,207
0.1,0.15,0.2419,152
0.3,0.5,0.2806,154
0.2,0.3,0.2689,91
0.0,0.75,0.3856,78
0.4,0.0,0.1148,243
0.4,0.15,0.1326,262
0.0,0.6,0.369,63
0.2,0.25,0.2549,206
0.3,0.45,0.28,174
0.1,0.0,0.1474,116
0.65,0.25,0.13,199
0.25,0.5,0.2923,127
0.05,0.15,0.2397,224
0.15,0.75,0.3633,123
0.35,0.3,0.1938,189
0.55,0.0,0.1108,174
0.55,0.15,0.124,249
0.2,0.8,0.3339,133
0.35,0.25,0.1803,133
0.15,0.6,0.3387,112
0.05,0.0,0.1784,177
0.25,0.45,0.2844,143
0.65,0.3,0.1284,186
0.5,0.05,0.1222,262
0.1,0.7,0.3734,108
0.3,0.35,0.2592,138
0.2,0.55,0.3258,151
0.0,0.1,0.2326,164
0.6,0.2,0.1314,190
0.6,0.35,0.1601,160
0.0,0.05,0.1908,216
0.2,0.4,0.3006,133
0.3,0.2,0.1778,216
0.1,0.65,0.3671,125
0.5,0.1,0.129,249
0.5,0.0,0.1099,214
0.1,0.75,0.374,90
0.3,0.3,0.2266,155
0.2,0.5,0.3329,95
0.0,0.15,0.2524,141
0.6,0.25,0.1253,183
0.6,0.3,0.1416,274
0.0,0.0,0.1507,109
0.2,0.45,0.3293,115
0.3,0.25,0.2016,188
0.1,0.6,0.3668,68
0.5,0.15,0.1206,300
0.65,0.2,0.1247,206
0.25,0.55,0.295,111
0.05,0.1,0.2143,260
0.15,0.7,0.3482,139
0.35,0.35,0.2276,92
0.55,0.05,0.1129,214
0.55,0.1,0.1127,199
0.35,0.2,0.1737,146
0.15,0.65,0.3409,92
0.05,0.05,0.1925,132
0.25,0.4,0.2822,174
0.45,0.55,0.2405,197
0.65,0.1,0.1203,184
0.25,0.65,0.3099,140
0.05,0.2,0.2631,188
0.1,0.85,0.3741,117
0.15,0.4,0.3204,97
0.9,0.0,0.1016,191
0.35,0.05,0.1269,286
0.55,0.35,0.1659,191
0.55,0.2,0.1259,301
0.35,0.1,0.1296,263
0.15,0.55,0.3386,129
0.05,0.35,0.3489,115
0.1,0.9,0.3726,98
0.25,0.7,0.322,125
0.65,0.05,0.12,200
0.45,0.4,0.1972,193
