wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.129,188
0.1,0.1,0.3904,110
0.3,0.55,0.3362,120
0.2,0.35,0.3929,107
0.0,0.7,0.4107,115
0.4,0.05,0.3104,137
0.4,0.1,0.3025,143
0.0,0.65,0.415,109
0.2,0.2,0.3903,97
0.3,0.4,0.3537,90
0.1,0.05,0.391,111
0.45,0.0,0.2936,176
0.25,0.3,0.3819,92
0.05,0.75,0.4149,77
0.15,0.15,0.389,109
0.35,0.5,0.3157,159
0.75,0.25,0.1179,221
1.0,0.0,0.1007,212
0.35,0.45,0.3096,149
0.15,0.0,0.3905,103
0.05,0.6,0.4192,106
0.25,0.25,0.3751,86
0.45,0.15,0.2742,141
0.45,0.05,0.2893,183
0.25,0.35,0.3764,99
0.05,0.7,0.4091,118
0.15,0.1,0.3909,109
0.35,0.55,0.3012,171
0.75,0.2,0.118,212
0.35,0.4,0.3209,137
0.15,0.05,0.3914,106
0.05,0.65,0.4084,113
0.25,0.2,0.3757,86
0.45,0.1,0.2778,133
0.7,0.25,0.1253,192
0.1,0.15,0.3885,81
0.3,0.5,0.3383,110
0.2,0.3,0.3907,106
0.0,0.75,0.4112,81
0.4,0.0,0.3068,131
0.4,0.15,0.3001,157
0.0,0.6,0.4089,106
0.2,0.25,0.3913,98
0.3,0.45,0.3464,100
0.1,0.0,0.3909,109
0.65,0.25,0.1486,258
0.25,0.5,0.3767,118
0.05,0.15,0.3922,111
0.15,0.75,0.3843,125
0.35,0.3,0.334,72
0.55,0.0,0.2335,106
0.55,0.15,0.2092,122
0.2,0.8,0.3339,133
0.35,0.25,0.3416,111
0.15,0.6,0.4131,96
0.05,0.0,0.3912,113
0.25,0.45,0.3799,109
0.65,0.3,0.1507,216
0.5,0.05,0.263,171
0.1,0.7,0.4092,67
0.3,0.35,0.3564,90
0.2,0.55,0.414,82
0.0,0.1,0.3919,111
0.6,0.2,0.1696,175
0.6,0.35,0.1662,187
0.0,0.05,0.3917,112
0.2,0.4,0.3987,113
0.3,0.2,0.36,120
0.1,0.65,0.4092,109
0.5,0.1,0.252,126
0.5,0.0,0.2619,114
0.1,0.75,0.3942,73
0.3,0.3,0.351,130
0.2,0.5,0.4131,77
0.0,0.15,0.3925,111
0.6,0.25,0.1675,174
0.6,0.3,0.168,180
0.0,0.0,0.3915,112
0.2,0.45,0.4015,117
0.3,0.25,0.352,125
0.1,0.6,0.4098,105
0.5,0.15,0.2416,136
0.65,0.2,0.1397,251
0.25,0.55,0.3569,71
0.05,0.1,0.3916,112
0.15,0.7,0.3948,114
0.35,0.35,0.3124,81
0.55,0.05,0.2259,170
0.55,0.1,0.2216,173
0.35,0.2,0.3476,112
0.15,0.65,0.4075,100
0.05,0.05,0.3916,112
0.25,0.4,0.3973,104
0.45,0.55,0.2405,197
0.65,0.1,0.1433,289
0.25,0.65,0.3361,88
0.05,0.2,0.3909,92
0.1,0.85,0.3848,88
0.15,0.4,0.3968,82
0.9,0.0,0.11,168
0.35,0.05,0.3357,148
0.55,0.35,0.1776,199
0.55,0.2,0.208,123
0.35,0.1,0.3253,152
0.15,0.55,0.4137,92
0.05,0.35,0.392,97
0.1,0.9,0.3726,98
0.25,0.7,0.3314,101
0.65,0.05,0.1551,185
0.45,0.4,0.2473,172
0.5,0.3,0.233,206
0.1,0.45,0.4143,125
0.3,0.0,0.3478,110
0.2,0.6,0.3998,84
0.15,0.8,0.3814,68
0.0,0.25,0.3907,97
0.4,0.5,0.2827,142
0.6,0.15,0.1712,176
0.6,0.0,0.2041,173
0.4,0.45,0.2727,133
0.0,0.3,0.3924,97
0.2,0.75,0.3432,125
0.3,0.15,0.3538,70
0.1,0.5,0.4098,134
0.5,0.25,0.2378,200
0.5,0.35,0.2339,220
0.95,0.0,0.1046,221
0.1,0.4,0.3983,123
0.3,0.05,0.3468,111
0.2,0.65,0.3814,98
0.0,0.2,0.3925,95
0.4,0.55,0.2774,152
0.6,0.1,0.1812,251
0.6,0.05,0.2098,179
0.4,0.4,0.2755,124
0.0,0.35,0.392,98
0.2,0.7,0.3677,114
0.3,0.1,0.3523,72
0.1,0.55,0.4063,99
0.5,0.2,0.2449,194
0.45,0.5,0.2469,190
0.65,0.15,0.1423,117
0.25,0.6,0.3428,83
0.05,0.25,0.3903,93
0.1,0.8,0.3853,77
0.9,0.05,0.1047,201
0.15,0.45,0.4101,123
0.35,0.0,0.3289,189
0.55,0.3,0.1898,192
0.55,0.25,0.2022,124
0.35,0.15,0.3442,109
0.15,0.5,0.4053,90
0.05,0.3,0.3914,98
0.25,0.75,0.3216,108
0.65,0.0,0.1799,179
0.45,0.45,0.2465,179
0.7,0.15,0.1335,182
0.5,0.5,0.2182,171
0.05,0.8,0.4129,84
0.1,0.25,0.3894,87
0.3,0.6,0.3279,130
0.2,0.0,0.3911,89
0.0,0.45,0.3974,71
0.85,0.05,0.1147,179
0.4,0.3,0.2871,113
0.4,0.25,0.291,168
0.85,0.1,0.1008,185
0.0,0.5,0.4087,132
0.2,0.15,0.3933,94
0.1,0.3,0.39,88
0.5,0.45,0.215,164
0.7,0.0,0.1403,169
0.45,0.35,0.2584,163
0.25,0.05,0.3615,80
0.05,0.4,0.3955,61
0.8,0.0,0.1214,186
0.15,0.2,0.3892,72
0.0,0.85,0.4134,93
0.75,0.1,0.1265,165
0.55,0.4,0.1828,95
0.75,0.05,0.1293,195
0.15,0.35,0.3925,79
0.0,0.9,0.3952,99
0.8,0.15,0.1195,199
0.05,0.55,0.4052,136
0.25,0.1,0.3836,81
0.45,0.2,0.2832,148
0.45,0.3,0.2562,159
0.25,0.0,0.358,121
0.8,0.05,0.1208,189
0.05,0.45,0.3988,62
0.15,0.25,0.3879,74
0.0,0.8,0.4173,87
0.35,0.6,0.3041,116
0.75,0.15,0.1257,172
0.75,0.0,0.1283,292
0.15,0.3,0.394,77
0.0,0.95,0.3799,107
0.05,0.5,0.4112,131
0.8,0.1,0.1205,196
0.25,0.15,0.3855,84
0.45,0.25,0.2746,152
0.7,0.1,0.1329,178
0.0,1.0,0.3682,58
0.05,0.85,0.3905,91
0.1,0.2,0.3899,83
0.3,0.65,0.3126,139
0.2,0.05,0.3927,89
0.85,0.0,0.1172,176
0.0,0.4,0.3956,150
0.4,0.35,0.2804,119
0.4,0.2,0.3002,102
0.0,0.55,0.409,137
0.2,0.1,0.393,90
0.05,0.9,0.3769,99
0.1,0.35,0.3911,93
0.5,0.4,0.2173,156
0.7,0.05,0.1386,171
