wStruct,wModelName,ARI,NumberOfClusters
0.7,0.2,0.0734,232
0.1,0.1,0.24,110
0.3,0.55,0.1913,69
0.2,0.35,0.2447,68
0.0,0.7,0.2375,75
0.4,0.05,0.196,55
0.4,0.1,0.2099,56
0.0,0.65,0.24,38
0.2,0.2,0.2404,63
0.3,0.4,0.2094,90
0.1,0.05,0.249,79
0.45,0.0,0.1889,86
0.25,0.3,0.2415,57
0.05,0.75,0.2239,77
0.15,0.15,0.2409,71
0.35,0.5,0.1856,101
0.75,0.25,0.0712,221
1.0,0.0,0.0714,153
0.35,0.45,0.1943,95
0.15,0.0,0.2527,63
0.05,0.6,0.2415,67
0.25,0.25,0.2445,86
0.45,0.15,0.1548,96
0.45,0.05,0.1731,89
0.25,0.35,0.2396,62
0.05,0.7,0.2289,73
0.15,0.1,0.2408,70
0.35,0.55,0.1821,105
0.75,0.2,0.071,212
0.35,0.4,0.1993,87
0.15,0.05,0.2395,106
0.05,0.65,0.2392,70
0.25,0.2,0.2439,86
0.45,0.1,0.1707,88
0.7,0.25,0.0713,192
0.1,0.15,0.2421,40
0.3,0.5,0.2181,59
0.2,0.3,0.2414,68
0.0,0.75,0.2295,81
0.4,0.0,0.1976,93
0.4,0.15,0.1881,57
0.0,0.6,0.2403,73
0.2,0.25,0.2427,66
0.3,0.45,0.2209,52
0.1,0.0,0.2497,74
0.65,0.25,0.0855,204
0.25,0.5,0.2177,65
0.05,0.15,0.2489,54
0.15,0.75,0.2206,60
0.35,0.3,0.207,72
0.55,0.0,0.1583,69
0.55,0.15,0.1334,122
0.2,0.8,0.191,68
0.35,0.25,0.2046,71
0.15,0.6,0.2404,52
0.05,0.0,0.25,81
0.25,0.45,0.2231,60
0.65,0.3,0.082,260
0.5,0.05,0.1419,80
0.1,0.7,0.2224,67
0.3,0.35,0.2112,90
0.2,0.55,0.2284,38
0.0,0.1,0.2472,58
0.6,0.2,0.1054,175
0.6,0.35,0.1003,187
0.0,0.05,0.2494,89
0.2,0.4,0.2458,70
0.3,0.2,0.23,72
0.1,0.65,0.2363,65
0.5,0.1,0.1532,126
0.5,0.0,0.1449,114
0.1,0.75,0.2131,73
0.3,0.3,0.2235,46
0.2,0.5,0.2348,77
0.0,0.15,0.2476,59
0.6,0.25,0.1,174
0.6,0.3,0.1008,180
0.0,0.0,0.2503,87
0.2,0.45,0.2386,73
0.3,0.25,0.2215,48
0.1,0.6,0.2404,61
0.5,0.15,0.1496,88
0.65,0.2,0.0796,198
0.25,0.55,0.2116,71
0.05,0.1,0.256,49
0.15,0.7,0.2187,57
0.35,0.35,0.2096,81
0.55,0.05,0.1383,170
0.55,0.1,0.1519,79
0.35,0.2,0.21,68
0.15,0.65,0.2335,54
0.05,0.05,0.2496,83
0.25,0.4,0.2323,60
0.45,0.55,0.1416,86
0.65,0.1,0.0827,191
0.25,0.65,0.176,88
0.05,0.2,0.2488,54
0.1,0.85,0.1975,88
0.15,0.4,0.2412,82
0.9,0.0,0.0636,236
0.35,0.05,0.2191,61
0.55,0.35,0.1049,138
0.55,0.2,0.131,123
0.35,0.1,0.2202,65
0.15,0.55,0.2392,51
0.05,0.35,0.2519,58
0.1,0.9,0.1806,98
0.25,0.7,0.1941,101
0.65,0.05,0.0956,185
0.45,0.4,0.1567,116
0.5,0.3,0.1477,145
0.1,0.45,0.2405,93
0.3,0.0,0.2289,66
0.2,0.6,0.2158,84
0.15,0.8,0.2106,68
0.0,0.25,0.25,59
0.4,0.5,0.1649,87
0.6,0.15,0.1027,176
0.6,0.0,0.1183,173
0.4,0.45,0.1746,133
0.0,0.3,0.2522,64
0.2,0.75,0.2064,56
0.3,0.15,0.2288,70
0.1,0.5,0.2414,58
0.5,0.25,0.1537,142
0.5,0.35,0.1433,103
0.95,0.0,0.0619,221
0.1,0.4,0.2426,53
0.3,0.05,0.2268,70
0.2,0.65,0.2156,44
0.0,0.2,0.2475,59
0.4,0.55,0.1634,96
0.6,0.1,0.1276,119
0.6,0.05,0.1203,179
0.4,0.4,0.1675,81
0.0,0.35,0.2518,66
0.2,0.7,0.2198,49
0.3,0.1,0.2281,72
0.1,0.55,0.2396,59
0.5,0.2,0.1548,139
0.45,0.5,0.1532,79
0.65,0.15,0.0833,196
0.25,0.6,0.2062,83
0.05,0.25,0.2492,55
0.1,0.8,0.2108,77
0.9,0.05,0.0607,238
0.15,0.45,0.2455,41
0.35,0.0,0.2205,59
0.55,0.3,0.1166,130
0.55,0.25,0.1282,91
0.35,0.15,0.2211,67
0.15,0.5,0.2439,45
0.05,0.3,0.2496,57
0.25,0.75,0.192,108
0.65,0.0,0.1039,179
0.45,0.45,0.1493,73
0.7,0.15,0.0793,227
0.5,0.5,0.1231,171
0.05,0.8,0.2238,84
0.1,0.25,0.2455,46
0.3,0.6,0.1838,75
0.2,0.0,0.2504,53
0.0,0.45,0.2413,71
0.85,0.05,0.0685,179
0.4,0.3,0.1934,69
0.4,0.25,0.2105,67
0.85,0.1,0.0619,220
0.0,0.5,0.243,72
0.2,0.15,0.2418,60
0.1,0.3,0.2507,49
0.5,0.45,0.1348,106
0.7,0.0,0.0837,145
0.45,0.35,0.1592,163
0.25,0.05,0.2346,80
0.05,0.4,0.2424,61
0.8,0.0,0.0745,150
0.15,0.2,0.2387,72
0.0,0.85,0.2246,93
0.75,0.1,0.0715,206
0.55,0.4,0.1173,95
0.75,0.05,0.0734,244
0.15,0.35,0.2495,36
0.0,0.9,0.212,99
0.8,0.15,0.0697,199
0.05,0.55,0.2404,67
0.25,0.1,0.2449,81
0.45,0.2,0.1706,148
0.45,0.3,0.162,102
0.25,0.0,0.2318,78
0.8,0.05,0.0711,230
0.05,0.45,0.2429,62
0.15,0.25,0.238,74
0.0,0.8,0.2264,41
0.35,0.6,0.1775,116
0.75,0.15,0.0703,206
0.75,0.0,0.0777,161
0.15,0.3,0.2411,77
0.0,0.95,0.2068,55
0.05,0.5,0.2429,64
0.8,0.1,0.0702,196
0.25,0.15,0.2447,84
0.45,0.25,0.1685,152
0.7,0.1,0.077,268
0.0,1.0,0.202,58
0.05,0.85,0.2091,91
0.1,0.2,0.2434,42
0.3,0.65,0.1807,82
0.2,0.05,0.2412,55
0.85,0.0,0.0693,208
0.0,0.4,0.2521,66
0.4,0.35,0.1697,75
0.4,0.2,0.1866,63
0.0,0.55,0.2422,72
0.2,0.1,0.2407,59
0.05,0.9,0.2019,99
0.1,0.35,0.2527,49
0.5,0.4,0.1335,108
0.7,0.05,0.0768,147
