wStruct,wModelName,ARI,NumberOfClusters
0.5,0.45,0.1142,89
0.7,0.0,0.0752,90
0.1,0.3,0.2526,57
0.0,0.5,0.243,72
0.85,0.1,0.06,175
0.2,0.15,0.252,42
0.4,0.25,0.2021,69
0.4,0.3,0.1971,71
0.2,0.0,0.242,35
0.85,0.05,0.0611,170
0.0,0.45,0.2413,71
0.05,0.8,0.2226,92
0.1,0.25,0.2519,54
0.3,0.6,0.1944,64
0.7,0.15,0.0705,94
0.5,0.5,0.1245,96
0.45,0.2,0.1852,66
0.05,0.55,0.2392,69
0.8,0.15,0.0621,156
0.25,0.1,0.2588,33
0.15,0.35,0.2433,57
0.0,0.9,0.212,99
0.55,0.4,0.1079,79
0.75,0.05,0.0675,181
0.75,0.1,0.0681,183
0.15,0.2,0.2515,47
0.0,0.85,0.2246,93
0.25,0.05,0.2535,32
0.8,0.0,0.0668,169
0.05,0.4,0.2437,67
0.45,0.35,0.16,75
0.45,0.25,0.1679,69
0.8,0.1,0.0623,178
0.05,0.5,0.2426,69
0.25,0.15,0.2546,38
0.15,0.3,0.2529,51
0.0,0.95,0.2068,55
0.75,0.0,0.0697,174
0.75,0.15,0.0675,109
0.15,0.25,0.2526,49
0.0,0.8,0.2264,41
0.35,0.6,0.1814,70
0.25,0.0,0.2386,67
0.05,0.45,0.2424,68
0.8,0.05,0.0658,145
0.45,0.3,0.182,73
0.5,0.4,0.1228,86
0.7,0.05,0.0797,34
0.05,0.9,0.1972,50
0.1,0.35,0.2537,60
0.0,0.55,0.2422,72
0.2,0.1,0.2573,42
0.4,0.2,0.2225,68
0.4,0.35,0.1987,78
0.2,0.05,0.2465,40
0.0,0.4,0.2521,66
0.85,0.0,0.0609,166
0.05,0.85,0.2072,100
0.1,0.2,0.2493,53
0.3,0.65,0.1894,74
0.7,0.1,0.0701,89
0.0,1.0,0.202,58
0.65,0.05,0.0911,134
0.45,0.4,0.1521,79
0.05,0.35,0.2519,63
0.1,0.9,0.1967,50
0.25,0.7,0.1934,85
0.35,0.1,0.2264,63
0.15,0.55,0.2364,67
0.55,0.2,0.1211,56
0.55,0.35,0.1103,75
0.9,0.0,0.0589,166
0.15,0.4,0.2434,58
0.35,0.05,0.2285,62
0.25,0.65,0.2186,73
0.05,0.2,0.2469,60
0.1,0.85,0.1991,46
0.45,0.55,0.1367,107
0.65,0.1,0.0848,130
0.5,0.25,0.1335,68
0.3,0.15,0.2382,34
0.1,0.5,0.2418,68
0.0,0.3,0.2522,64
0.2,0.75,0.1985,93
0.6,0.0,0.1075,51
0.4,0.45,0.1756,47
0.4,0.5,0.1789,48
0.6,0.15,0.0955,57
0.2,0.6,0.2267,68
0.15,0.8,0.2003,39
0.0,0.25,0.25,59
0.1,0.45,0.2421,67
0.3,0.0,0.2434,64
0.5,0.3,0.1231,71
0.5,0.2,0.1302,63
0.3,0.1,0.2384,72
0.1,0.55,0.2379,69
0.0,0.35,0.2518,66
0.2,0.7,0.2084,81
0.6,0.05,0.1086,51
0.4,0.4,0.1938,81
0.4,0.55,0.1517,57
0.6,0.1,0.1038,54
0.2,0.65,0.2092,70
0.0,0.2,0.2475,59
0.1,0.4,0.2419,64
0.95,0.0,0.0611,188
0.3,0.05,0.2449,67
0.5,0.35,0.1189,78
0.65,0.0,0.0937,84
0.45,0.45,0.1413,87
0.05,0.3,0.2496,63
0.25,0.75,0.1823,95
0.35,0.15,0.2315,70
0.15,0.5,0.2393,62
0.55,0.25,0.1199,67
0.55,0.3,0.1034,67
0.15,0.45,0.2427,57
0.9,0.05,0.0617,166
0.35,0.0,0.2308,59
0.25,0.6,0.2242,67
0.05,0.25,0.2494,58
0.1,0.8,0.2142,92
0.45,0.5,0.1391,98
0.65,0.15,0.0836,98
0.65,0.3,0.0743,69
0.05,0.0,0.2502,86
0.25,0.45,0.2335,51
0.2,0.8,0.2018,34
0.35,0.25,0.2377,71
0.15,0.6,0.2331,70
0.55,0.15,0.1174,56
0.55,0.0,0.1304,90
0.15,0.75,0.2079,88
0.35,0.3,0.2235,36
0.25,0.5,0.2301,53
0.05,0.15,0.2489,58
0.65,0.25,0.0844,68
0.5,0.1,0.1665,59
0.3,0.2,0.2356,78
0.1,0.65,0.237,31
0.0,0.05,0.2494,89
0.2,0.4,0.2427,55
0.6,0.35,0.0962,71
0.6,0.2,0.1,63
0.2,0.55,0.2352,63
0.0,0.1,0.2472,58
0.1,0.7,0.2254,35
0.3,0.35,0.2281,42
0.5,0.05,0.1744,56
0.5,0.15,0.1658,62
0.3,0.25,0.2351,80
0.1,0.6,0.2392,71
0.0,0.0,0.2503,87
0.2,0.45,0.2416,56
0.6,0.3,0.0982,69
0.6,0.25,0.1034,63
0.2,0.5,0.2406,57
0.0,0.15,0.2476,59
0.1,0.75,0.2125,84
0.3,0.3,0.2374,42
0.5,0.0,0.174,55
0.05,0.05,0.2498,56
0.25,0.4,0.2436,48
0.35,0.2,0.2307,71
0.15,0.65,0.2155,73
0.55,0.1,0.1149,101
0.55,0.05,0.1181,91
0.15,0.7,0.2147,81
0.35,0.35,0.2236,36
0.25,0.55,0.227,60
0.05,0.1,0.2491,57
0.65,0.2,0.0804,36
0.3,0.4,0.2282,44
0.1,0.05,0.2523,50
0.0,0.65,0.24,38
0.2,0.2,0.2575,44
0.4,0.1,0.226,60
0.4,0.05,0.2204,57
0.2,0.35,0.2507,51
0.0,0.7,0.2375,75
0.1,0.1,0.2498,52
0.3,0.55,0.2146,54
0.7,0.2,0.0697,103
0.45,0.15,0.1885,62
0.05,0.6,0.2417,71
0.25,0.25,0.2402,80
0.35,0.45,0.1992,46
0.15,0.0,0.252,81
0.75,0.25,0.0652,148
1.0,0.0,0.0511,181
0.15,0.15,0.2576,46
0.35,0.5,0.194,50
0.25,0.3,0.2406,43
0.05,0.75,0.224,85
0.45,0.0,0.208,96
0.45,0.1,0.1978,59
0.05,0.65,0.2396,74
0.25,0.2,0.2533,38
0.35,0.4,0.2183,40
0.15,0.05,0.2533,44
0.75,0.2,0.0661,110
0.15,0.1,0.2548,44
0.35,0.55,0.1879,53
0.25,0.35,0.2453,47
0.05,0.7,0.2291,77
0.45,0.05,0.2034,95
0.3,0.45,0.2294,47
0.1,0.0,0.2503,84
0.0,0.6,0.2403,73
0.2,0.25,0.2586,43
0.4,0.15,0.2188,64
0.4,0.0,0.2173,57
0.2,0.3,0.2585,50
0.0,0.75,0.2295,81
0.1,0.15,0.2497,53
0.3,0.5,0.2294,50
0.7,0.25,0.0698,105
