wStruct,wModelName,ARI,NumberOfClusters
0.5,0.45,0.2186,141
0.7,0.0,0.1466,90
0.1,0.3,0.3925,97
0.0,0.5,0.4087,132
0.85,0.1,0.1106,202
0.2,0.15,0.3896,79
0.4,0.25,0.332,110
0.4,0.3,0.312,71
0.2,0.0,0.3899,71
0.85,0.05,0.118,170
0.0,0.45,0.3974,71
0.05,0.8,0.4136,92
0.1,0.25,0.392,96
0.3,0.6,0.3523,122
0.7,0.15,0.1309,94
0.5,0.5,0.229,96
0.45,0.2,0.2899,66
0.05,0.55,0.4085,107
0.8,0.15,0.1203,156
0.25,0.1,0.3849,71
0.15,0.35,0.3977,130
0.0,0.9,0.3952,99
0.55,0.4,0.1946,79
0.75,0.05,0.1279,181
0.75,0.1,0.1297,183
0.15,0.2,0.3906,86
0.0,0.85,0.4134,93
0.25,0.05,0.384,70
0.8,0.0,0.1195,169
0.05,0.4,0.3979,67
0.45,0.35,0.2741,130
0.45,0.25,0.2846,111
0.8,0.1,0.1255,152
0.05,0.5,0.4115,135
0.25,0.15,0.3922,75
0.15,0.3,0.3916,90
0.0,0.95,0.3799,107
0.75,0.0,0.1314,174
0.75,0.15,0.1303,109
0.15,0.25,0.3936,88
0.0,0.8,0.4173,87
0.35,0.6,0.3294,70
0.25,0.0,0.3828,67
0.05,0.45,0.4018,68
0.8,0.05,0.122,173
0.45,0.3,0.2904,73
0.5,0.4,0.2278,135
0.7,0.05,0.1382,143
0.05,0.9,0.3755,108
0.1,0.35,0.392,99
0.0,0.55,0.409,137
0.2,0.1,0.3879,79
0.4,0.2,0.3274,68
0.4,0.35,0.3159,78
0.2,0.05,0.3911,74
0.0,0.4,0.3956,150
0.85,0.0,0.1128,166
0.05,0.85,0.389,100
0.1,0.2,0.3917,94
0.3,0.65,0.3439,74
0.7,0.1,0.1299,143
0.0,1.0,0.3682,58
0.65,0.05,0.1651,134
0.45,0.4,0.2596,79
0.05,0.35,0.392,101
0.1,0.9,0.3644,112
0.25,0.7,0.3734,85
0.35,0.1,0.3547,63
0.15,0.55,0.4209,105
0.55,0.2,0.2064,56
0.55,0.35,0.1994,75
0.9,0.0,0.1082,166
0.15,0.4,0.405,133
0.35,0.05,0.3558,99
0.25,0.65,0.3663,73
0.05,0.2,0.3921,97
0.1,0.85,0.3798,103
0.45,0.55,0.2445,107
0.65,0.1,0.1567,93
0.5,0.25,0.23,68
0.3,0.15,0.3836,71
0.1,0.5,0.4102,138
0.0,0.3,0.3924,97
0.2,0.75,0.3865,93
0.6,0.0,0.1812,83
0.4,0.45,0.3014,91
0.4,0.5,0.2892,104
0.6,0.15,0.1822,57
0.2,0.6,0.4197,68
0.15,0.8,0.3936,95
0.0,0.25,0.3907,97
0.1,0.45,0.415,134
0.3,0.0,0.3782,64
0.5,0.3,0.2178,113
0.5,0.2,0.24,101
0.3,0.1,0.3833,72
0.1,0.55,0.4183,110
0.0,0.35,0.392,98
0.2,0.7,0.3965,81
0.6,0.05,0.1826,127
0.4,0.4,0.3039,81
0.4,0.55,0.267,117
0.6,0.1,0.1773,135
0.2,0.65,0.3945,70
0.0,0.2,0.3925,95
0.1,0.4,0.3971,130
0.95,0.0,0.1147,162
0.3,0.05,0.3831,67
0.5,0.35,0.2182,125
0.65,0.0,0.1706,84
0.45,0.45,0.2551,87
0.05,0.3,0.3917,100
0.25,0.75,0.3419,95
0.35,0.15,0.3583,70
0.15,0.5,0.4089,101
0.55,0.25,0.2019,67
0.55,0.3,0.1914,116
