wStruct,wModelName,ARI,NumberOfClusters
0.1,0.0,0.2523,66
0.3,0.45,0.1786,94
0.4,0.15,0.1508,83
0.2,0.25,0.2394,74
0.0,0.6,0.2403,73
0.0,0.75,0.2295,81
0.2,0.3,0.2422,74
0.4,0.0,0.1573,78
0.7,0.25,0.096,268
0.3,0.5,0.182,59
0.1,0.15,0.2387,104
0.25,0.2,0.2205,54
0.05,0.65,0.2388,64
0.45,0.1,0.1446,99
0.15,0.05,0.2422,46
0.35,0.4,0.1678,73
0.35,0.55,0.1561,86
0.15,0.1,0.2362,88
0.75,0.2,0.0859,232
0.45,0.05,0.1538,97
0.05,0.7,0.2286,68
0.25,0.35,0.2132,59
0.25,0.25,0.2189,56
0.05,0.6,0.2415,61
0.45,0.15,0.1423,108
0.15,0.0,0.236,82
0.35,0.45,0.1642,75
0.35,0.5,0.1625,77
0.15,0.15,0.2393,91
1.0,0.0,0.0465,197
0.75,0.25,0.0824,240
0.45,0.0,0.1595,95
0.05,0.75,0.223,68
0.25,0.3,0.225,57
0.1,0.05,0.2499,67
0.3,0.4,0.1835,90
0.4,0.1,0.1623,78
0.2,0.2,0.2407,72
0.0,0.65,0.24,38
0.0,0.7,0.2375,75
0.2,0.35,0.2254,76
0.4,0.05,0.1593,79
0.7,0.2,0.0923,263
0.3,0.55,0.1759,108
0.1,0.1,0.2391,101
0.25,0.4,0.2184,66
0.05,0.05,0.2494,78
0.55,0.1,0.1239,199
0.15,0.65,0.2229,74
0.35,0.2,0.1825,65
0.35,0.35,0.1677,72
0.15,0.7,0.1957,84
0.55,0.05,0.1255,195
0.65,0.2,0.0904,206
0.05,0.1,0.2475,47
0.25,0.55,0.1998,79
0.1,0.6,0.2435,48
0.3,0.25,0.1767,77
0.5,0.15,0.1388,141
0.6,0.3,0.1125,195
0.2,0.45,0.2226,79
0.0,0.0,0.2503,87
0.0,0.15,0.2476,59
0.2,0.5,0.2204,46
0.6,0.25,0.107,229
0.5,0.0,0.1516,202
0.3,0.3,0.1971,84
0.1,0.75,0.2196,51
0.1,0.65,0.2398,48
0.3,0.2,0.1833,74
0.5,0.1,0.1338,142
0.6,0.35,0.1053,242
0.2,0.4,0.2242,74
0.0,0.05,0.2494,89
0.0,0.1,0.2472,58
0.2,0.55,0.2399,50
0.6,0.2,0.1247,228
0.5,0.05,0.1368,142
0.3,0.35,0.2026,83
0.1,0.7,0.2329,48
0.25,0.45,0.2316,66
0.05,0.0,0.2494,77
0.65,0.3,0.0995,250
0.55,0.15,0.127,202
0.15,0.6,0.2238,66
0.35,0.25,0.1596,104
0.2,0.8,0.1916,85
0.35,0.3,0.1473,163
0.15,0.75,0.1875,97
0.55,0.0,0.1348,229
0.65,0.25,0.1131,217
0.05,0.15,0.2423,49
0.25,0.5,0.1942,73
0.25,0.75,0.1743,107
0.05,0.3,0.2462,52
0.45,0.45,0.1328,130
0.65,0.0,0.1192,228
0.55,0.25,0.1358,212
0.15,0.5,0.2368,62
0.35,0.15,0.1653,95
0.35,0.0,0.189,57
0.15,0.45,0.2429,58
0.9,0.05,0.0824,233
0.55,0.3,0.1252,220
0.65,0.15,0.1234,203
0.45,0.5,0.1327,132
0.1,0.8,0.2188,58
0.05,0.25,0.2476,51
0.25,0.6,0.1922,85
0.1,0.55,0.2361,44
0.3,0.1,0.2041,70
0.5,0.2,0.1404,143
0.4,0.4,0.1524,100
0.6,0.05,0.1209,214
0.2,0.7,0.184,66
0.0,0.35,0.2518,66
0.0,0.2,0.2475,59
0.2,0.65,0.2103,64
0.6,0.1,0.1241,219
0.4,0.55,0.1467,112
0.5,0.35,0.1266,157
0.3,0.05,0.2048,69
0.1,0.4,0.2402,78
0.95,0.0,0.0737,242
0.1,0.5,0.2383,82
0.3,0.15,0.1865,75
0.5,0.25,0.1365,146
0.4,0.45,0.1517,102
0.6,0.0,0.1185,210
0.2,0.75,0.1991,77
0.0,0.3,0.2522,64
0.0,0.25,0.25,59
0.15,0.8,0.1729,106
0.2,0.6,0.2197,56
0.6,0.15,0.1222,221
0.4,0.5,0.1468,112
0.5,0.3,0.1255,149
0.3,0.0,0.2141,69
0.1,0.45,0.2403,82
0.25,0.7,0.1838,98
0.1,0.9,0.179,76
0.05,0.35,0.2527,53
0.45,0.4,0.1412,126
0.65,0.05,0.123,203
0.55,0.2,0.1363,206
0.15,0.55,0.2352,62
0.35,0.1,0.1784,60
0.35,0.05,0.1798,58
0.9,0.0,0.0865,230
0.15,0.4,0.2448,56
0.55,0.35,0.1206,227
0.65,0.1,0.1244,204
0.45,0.55,0.1306,140
0.1,0.85,0.1935,65
0.05,0.2,0.2504,51
0.25,0.65,0.1868,91
0.1,0.35,0.2373,78
0.05,0.9,0.2088,90
0.7,0.05,0.1098,216
0.5,0.4,0.1252,162
0.4,0.2,0.1485,85
0.2,0.1,0.2328,65
0.0,0.55,0.2422,72
0.0,0.4,0.2521,66
0.85,0.0,0.0834,215
0.2,0.05,0.2333,66
0.4,0.35,0.1514,96
0.0,1.0,0.202,58
0.7,0.1,0.1078,216
0.3,0.65,0.1662,124
0.1,0.2,0.2393,105
0.05,0.85,0.2113,81
0.25,0.15,0.2317,52
0.8,0.1,0.0802,205
0.05,0.5,0.2442,59
0.45,0.25,0.1489,116
0.75,0.0,0.0858,196
0.0,0.95,0.2068,55
0.15,0.3,0.2377,96
0.35,0.6,0.1546,143
0.0,0.8,0.2264,41
0.15,0.25,0.2377,95
0.75,0.15,0.0787,272
0.45,0.3,0.1434,121
0.05,0.45,0.243,58
0.8,0.05,0.0932,202
0.25,0.0,0.228,80
0.25,0.1,0.2325,53
0.05,0.55,0.242,61
0.8,0.15,0.0817,210
0.45,0.2,0.1426,115
0.75,0.05,0.1019,198
0.55,0.4,0.1167,235
0.0,0.9,0.212,99
0.15,0.35,0.2424,56
0.0,0.85,0.2246,93
0.15,0.2,0.238,91
0.75,0.1,0.0799,199
0.45,0.35,0.1312,126
0.8,0.0,0.0897,206
0.05,0.4,0.2431,56
0.25,0.05,0.2262,83
0.1,0.3,0.2385,76
0.7,0.0,0.1054,211
0.5,0.45,0.1237,163
0.4,0.25,0.1445,92
0.2,0.15,0.2413,67
0.0,0.5,0.243,72
0.85,0.1,0.0805,225
0.85,0.05,0.078,215
0.0,0.45,0.2413,71
0.2,0.0,0.234,63
0.4,0.3,0.1535,96
0.5,0.5,0.1167,166
0.7,0.15,0.0925,258
0.3,0.6,0.1704,115
0.1,0.25,0.2377,108
0.05,0.8,0.2236,73
