wStruct,wModelName,ARI,NumberOfClusters
0.1,0.0,0.3876,99
0.3,0.45,0.2709,144
0.4,0.15,0.2522,173
0.2,0.25,0.3662,74
0.0,0.6,0.4089,106
0.0,0.75,0.4112,81
0.2,0.3,0.3746,118
0.4,0.0,0.2789,221
0.7,0.25,0.129,321
0.3,0.5,0.2742,97
0.1,0.15,0.3893,104
0.25,0.2,0.333,85
0.05,0.65,0.4115,109
0.45,0.1,0.2348,212
0.15,0.05,0.3823,84
0.35,0.4,0.2654,171
0.35,0.55,0.2589,201
0.15,0.1,0.3851,88
0.75,0.2,0.1232,274
0.45,0.05,0.2411,291
0.05,0.7,0.4103,112
0.25,0.35,0.3359,93
0.25,0.25,0.3294,87
0.05,0.6,0.4072,102
0.45,0.15,0.2439,208
0.15,0.0,0.3825,82
0.35,0.45,0.2632,179
0.35,0.5,0.2557,197
0.15,0.15,0.3907,91
1.0,0.0,0.0611,224
0.75,0.25,0.1148,342
0.45,0.0,0.2629,208
0.05,0.75,0.4146,68
0.25,0.3,0.344,91
0.1,0.05,0.3893,100
0.3,0.4,0.2944,140
0.4,0.1,0.2539,169
0.2,0.2,0.3615,72
0.0,0.65,0.415,109
0.0,0.7,0.4107,115
0.2,0.35,0.3773,76
0.4,0.05,0.2689,160
0.7,0.2,0.129,310
0.3,0.55,0.2674,108
0.1,0.1,0.3903,101
0.25,0.4,0.3571,66
0.05,0.05,0.3911,109
0.55,0.1,0.206,296
0.15,0.65,0.3897,133
0.35,0.2,0.2753,148
0.35,0.35,0.2646,163
0.15,0.7,0.361,84
0.55,0.05,0.2213,281
0.65,0.2,0.148,292
0.05,0.1,0.3915,111
0.25,0.55,0.3125,124
0.1,0.6,0.4114,89
0.3,0.25,0.3027,189
0.5,0.15,0.2173,281
0.6,0.3,0.153,288
0.2,0.45,0.378,79
0.0,0.0,0.3915,112
0.0,0.15,0.3925,111
0.2,0.5,0.3785,85
0.6,0.25,0.171,229
0.5,0.0,0.2391,256
0.3,0.3,0.2991,190
0.1,0.75,0.3942,109
0.1,0.65,0.4073,91
0.3,0.2,0.3031,74
0.5,0.1,0.2221,273
0.6,0.35,0.1532,294
0.2,0.4,0.3769,130
0.0,0.05,0.3917,112
